id,name,date,promoter,location,attendance,created_at,modified_at
1149,Invicta FC 10: Waterson vs. Tiburcio,2014-12-05,Invicta Fc,,,2019-04-01T20:55:20.345322,2019-04-01T20:55:20.345322
1150,ONE Championship 74: Pinnacle of Power,2018-06-23,OneFC,,,2019-04-01T20:55:22.923963,2019-04-01T20:55:22.923963
1151,Cage Contender 14,2012-07-21,Cage Contender,,,2019-04-01T20:55:25.002806,2019-04-01T20:55:25.002806
1153,ONE Championship 40: Union of Warriors,2016-03-18,OneFC,,,2019-04-01T20:55:31.400650,2019-04-01T20:55:31.400650
1154,ONE Championship 44: Dynasty of Champions,2016-07-02,OneFC,,,2019-04-01T20:55:31.782808,2019-04-01T20:55:31.782808
1155,IFL: Grand Prix Finals,2007-12-29,IFL,,,2019-04-01T20:55:33.424428,2019-04-01T20:55:33.424428
1156,Bellator Fighting Championships 13,2010-04-08,Bellator,,,2019-04-01T20:55:33.574013,2019-04-01T20:55:33.574013
1157,LFA 43: Allen vs. Crowe,2018-06-22,LFA,,,2019-04-01T20:55:34.263470,2019-04-01T20:55:34.263470
1158,Cage Warriors 83: Mills vs. Long,2017-05-06,Cage Warriors,,,2019-04-01T20:55:34.680941,2019-04-01T20:55:34.680941
1159,Cage Warriors 43,2011-07-09,Cage Warriors,,,2019-04-01T20:55:34.690971,2019-04-01T20:55:34.690971
1152,UFC: The Ultimate Fighter Nations Finale,2014-04-16,UFC,"Quebec City, Quebec, Canada",5029.0,2019-04-01T20:55:27.515210,2019-04-02T16:13:39.405053
1115,UFC 157: Rousey vs. Carmouche,2013-02-23,UFC,"Anaheim, California, USA",13257.0,2019-04-01T20:53:14.236789,2019-04-02T16:18:10.293967
1101,UFC 217: Bisping vs. St-Pierre,2017-11-04,UFC,"New York City, New York, USA",18201.0,2019-04-01T20:51:42.976334,2019-04-02T17:59:56.295509
1160,RFA 25: Lawrence vs. Toomer,2015-04-10,RFA,,,2019-04-01T20:55:35.078511,2019-04-01T20:55:35.078511
1164,ONE FC 18: War of Dragons,2014-07-11,OneFC,,,2019-04-01T20:55:40.801781,2019-04-01T20:55:40.801781
1161,Invicta FC 15: Cyborg vs. Ibragimova,2016-01-16,Invicta Fc,,,2019-04-01T20:55:35.234850,2019-04-01T20:55:35.234850
1169,CFFC 72: Brady vs. Hakim,2019-02-16,CFFC,,,2019-04-01T20:55:46.839359,2019-04-01T20:55:46.839359
1180,ONE Championship 72: Grit and Glory,2018-05-12,OneFC,,,2019-04-01T20:55:53.484085,2019-04-01T20:55:53.484085
1185,Titan Fighting Championship 26: Hallman vs. Hornbuckle,2013-08-30,Titan Fighting Championship,,,2019-04-01T20:56:02.728356,2019-04-01T20:56:02.728356
1194,Combat Zone 28,2009-05-08,OneFC,,,2019-04-01T20:56:17.427285,2019-04-01T20:56:17.427285
1162,Cage Warriors 40,2011-02-26,Cage Warriors,,,2019-04-01T20:55:36.893024,2019-04-01T20:55:36.893024
1181,Invicta FC 31: Jandiroba vs. Morandin,2018-09-01,Invicta Fc,,,2019-04-01T20:55:54.234901,2019-04-01T20:55:54.234901
1189,LFA 20: Curry vs. Barnes,2017-08-25,LFA,,,2019-04-01T20:56:09.491411,2019-04-01T20:56:09.491411
1191,Call To Arms II,2009-08-15,Call To Arms,,,2019-04-01T20:56:14.347878,2019-04-01T20:56:14.347878
1208,RFA 42: Giagos vs. Estrazulas,2016-08-19,RFA,,,2019-04-01T20:57:43.815058,2019-04-01T20:57:43.815058
1224,Strikeforce At The Mansion,2007-09-29,Strikeforce,,,2019-04-01T20:58:15.395187,2019-04-01T20:58:15.395187
1240,LFA 63: Krantz vs. Patterson,2019-03-29,LFA,,,2019-04-01T20:58:51.241608,2019-04-01T20:58:51.241608
1260,Cage 41,2017-11-25,Cage,,,2019-04-01T21:00:24.302374,2019-04-01T21:00:24.302374
1276,RFA 34: Velickovic vs. Smith,2016-01-15,RFA,,,2019-04-01T21:01:26.061992,2019-04-01T21:01:26.061992
1282,UFC: The Ultimate Fighter 15 Episode 12,2012-05-25,UFC,,,2019-04-01T21:01:55.106873,2019-04-01T21:01:55.106873
1287,KSW 36: Materla vs. Palhares,2016-10-01,KSW,,,2019-04-01T21:02:00.142601,2019-04-01T21:02:00.142601
1165,LFA 39: Heinisch vs. Checco,2018-05-04,LFA,,,2019-04-01T20:55:42.036276,2019-04-01T20:55:42.036276
1179,RFA 33: Chavez vs. Townsend,2015-12-11,RFA,,,2019-04-01T20:55:53.220388,2019-04-01T20:55:53.220388
