id,name,nationality
1991,Rainy Martinez,United States
1949,Naoki Matsushita,Japan
1604,Jakob Lovstad,Norway
1504,Tetsuji Kato,Japan
1895,Brandon Magana,United States
1950,Scott Morris,United States
1508,Keigo Kunihara,Japan
1215,Paul Herrera,United States
1341,Brian Johnston,United States
1383,Carlton Jones,United States
1636,Donnie Liles,United States
327,Mike Bronzoulis,United States
1542,Yurij Kiseliov,
1540,Junya Kudo,
787,John Elam,United States
2769,Magomed Sultanakhmedov,Russia
2049,Steve Nelmark,USA
1939,Miika Mehmet,Finland
2726,Eric Smith,USA
3578,Dave Burrow,United States
2150,Pedro Otavio,Brazil
5452,Corey Davis,United States
3465,Lewis Long,Wales
2789,Daisuke Sugie,Japan
3526,Karina Rodriguez,Mexico
2135,Casey Olson,United States
3635,Moriel Charneski,United States
5447,Chris Bowles,USA
5560,Tristan Johnson,Canada
781,Te Edwards,United States
788,Efrain Escudero,United States
2298,Tony Petarra,United States
2235,Rolando Perez,United States
2876,Nik Theotikos,
2682,Scott Shaffer,
2265,Won Sik Park,South Korea
2460,Kevin Rosier,United States
2727,Kim In Seok,South Korea
2921,Osamu Tachihikari,Japan
2139,Michiyoshi Ohara,Japan
2859,Tom Tuggle,United States
2791,Mark Schultz,United States
2173,Yan Pellerin,Canada
2793,Mike Seal,United States
2711,Ryuta Sakurai,Japan
2087,Yukiya Naito,Japan
1017,Chris Guillen,United States
2376,Herman Renting,Holland
2571,Townsend Saunders,United States
651,John Devine,
3339,Tom Webb,England
3363,Kai Asakura,Japan
3572,Felipe Enomoto,Switzerland
2549,Greg Stott,USA
2664,Mark Scanlon,England
2750,Bob Schrijber,Netherlands
2399,Ray Routh,
2484,John Renken,United States
2570,Kestutis Smirnovas,Lithuania
2736,Joel Sutton,United States
3398,Vinicius Zani,Brazil
3476,Daiane Firmino,Brazil
2741,Ivan Serati,Italy
3432,Nobutatsu Suzuki,Japan
2753,Brian Schwartz,
2316,Michael Patt,United States
2306,Roland Payne,United States
2626,Edson Silva,Brazil
2666,Carl Seumanutafa,United States
2775,Marcus Silveira,Brazil
2197,Ray Perales,United States
2531,Luke Stewart,United States
2574,Jesse Sanders,United States
2944,Eugenio Tadeu,Brazil
2426,Johnny Rhodes,United States
2554,Sam Spengler,United States
